"","id","perm_closed","sntzrs","empl_trained","thrml_scrn","soc_dist","cshless","nobufft","c19mrktg","outsrc","othr","none","infrm","styhm","wrkr_socdist","shfts","telewrk","tempchecks","ppe","paid_sickleave","insurncs","wrker_other","worker_none","coordinates","lat","lng"
"1",3,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0",NA,NA,NA
"2",4,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"3",5,FALSE,"1","0","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",NA,NA,NA
"4",6,FALSE,"1","1","1","1","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","27.578974 84.494066 0 0","27.578974","84.494066"
"5",7,FALSE,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA
"6",8,FALSE,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.711638 85.308387 0 0","27.711638","85.308387"
"7",9,FALSE,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"8",10,FALSE,"1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0",NA,NA,NA
"9",11,FALSE,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","29.040688 -126.054109 0 0","29.040688","-126.054109"
"10",12,FALSE,"1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0",NA,NA,NA
"11",13,FALSE,"1","1","1","1","0","1","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0",NA,NA,NA
"12",14,FALSE,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","28.209711 83.958002 0 0","28.209711","83.958002"
"13",15,FALSE,"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",NA,NA,NA
"14",17,FALSE,"1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","28.19871 83.976131 0 0","28.19871","83.976131"
"15",18,FALSE,"1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","27.71339 85.312352 0 0","27.71339","85.312352"
"16",19,FALSE,"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.688587 84.965711 0 0","27.688587","84.965711"
"17",21,FALSE,"1","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0",NA,NA,NA
"18",22,FALSE,"1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",NA,NA,NA
"19",23,FALSE,"1","0","1","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0",NA,NA,NA
"20",24,FALSE,"0","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","27.71423 85.311593 0 0","27.71423","85.311593"
"21",25,FALSE,"1","1","0","1","1","0","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0",NA,NA,NA
"22",26,FALSE,"1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","0","28.207931 84.036484 0 0","28.207931","84.036484"
"23",27,FALSE,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","27.721681 85.322634 1308.1780700683594 65","27.721681","85.322634"
"24",28,FALSE,"0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"25",29,FALSE,"1","1","1","1","1","0","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0",NA,NA,NA
"26",30,FALSE,"1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","0","1","0","0","27.717179 85.332828 0 0","27.717179","85.332828"
"27",31,FALSE,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"28",34,FALSE,"1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","1","1","1","0","0","0","-17.00607 99.401123 0 0","-17.00607","99.401123"
"29",35,FALSE,"1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0",NA,NA,NA
"30",36,FALSE,"0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"31",37,FALSE,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"32",38,FALSE,"1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"33",39,FALSE,"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","27.713253 85.312681 1258.4000244140625 11.133999824523926","27.713253","85.312681"
"34",40,FALSE,"1","1","0","1","1","0","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","27.715806 85.309964 0 0","27.715806","85.309964"
"35",41,FALSE,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","27.714579 85.312474 0 0","27.714579","85.312474"
"36",43,FALSE,"1","1","0","1","1","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0","27.716936 85.311456 0 0","27.716936","85.311456"
"37",45,FALSE,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"38",46,FALSE,"1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0",NA,NA,NA
"39",48,FALSE,"1","0","0","0","1","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","27.716142 85.311016 0 0","27.716142","85.311016"
"40",49,FALSE,"1","1","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","0","28.21487 83.961961 0 0","28.21487","83.961961"
"41",50,FALSE,"1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",NA,NA,NA
"42",51,FALSE,"1","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0",NA,NA,NA
"43",52,FALSE,"1","1","0","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","0","0","0","27.715744 85.309307 0 0","27.715744","85.309307"
"44",54,FALSE,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",NA,NA,NA
"45",55,FALSE,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA
"46",56,FALSE,"0","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","27.732756 85.339214 1284.8296479075966 12.515999794006348","27.732756","85.339214"
"47",57,FALSE,"1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0",NA,NA,NA
"48",58,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","27.717184 85.313824 0 0","27.717184","85.313824"
"49",59,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","27.717184 85.313824 0 0","27.717184","85.313824"
"50",60,FALSE,"1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","27.712753 85.316219 0 0","27.712753","85.316219"
"51",61,FALSE,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",NA,NA,NA
"52",62,FALSE,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","27.689418 85.243263 0 0","27.689418","85.243263"
"53",63,FALSE,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA
"54",64,FALSE,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","27.72309 85.333852 1304.271369934082 65","27.72309","85.333852"
"55",65,FALSE,"1","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","27.719115 85.332184 0 0","27.719115","85.332184"
"56",66,FALSE,"1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","27.713785 85.312396 0 0","27.713785","85.312396"
"57",67,FALSE,"1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","27.684759 85.312688 0 0","27.684759","85.312688"
"58",68,FALSE,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA
"59",69,FALSE,"0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0",NA,NA,NA
"60",70,FALSE,"1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"61",71,FALSE,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",NA,NA,NA
"62",72,FALSE,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA
"63",73,FALSE,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA
"64",74,FALSE,"1","0","1","1","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0",NA,NA,NA
"65",76,FALSE,"1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","27.690247 85.317249 0 0","27.690247","85.317249"
"66",77,FALSE,"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0",NA,NA,NA
"67",80,FALSE,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","27.729241 85.38627 1314.2932167053223 65","27.729241","85.38627"
"68",81,FALSE,"0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0",NA,NA,NA
"69",82,FALSE,"0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0",NA,NA,NA
"70",84,FALSE,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","27.716549 85.309941 1307.1645393371582 65","27.716549","85.309941"
"71",85,FALSE,"1","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","27.693104 85.287242 1308.8137969970703 30","27.693104","85.287242"
"72",86,FALSE,"1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",NA,NA,NA
"73",87,FALSE,"1","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","27.725388 85.311287 1275.668564347818 14.361000061035156","27.725388","85.311287"
"74",88,FALSE,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","27.7031 85.308409 0 0","27.7031","85.308409"
"75",89,FALSE,"1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0",NA,NA,NA
"76",90,FALSE,"0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","27.715948 85.309984 0 0","27.715948","85.309984"
"77",91,FALSE,"1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0",NA,NA,NA
"78",92,FALSE,"0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA
"79",93,FALSE,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"80",94,FALSE,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",NA,NA,NA
"81",95,FALSE,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","27.702215 85.323343 0 0","27.702215","85.323343"
"82",96,FALSE,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"83",97,FALSE,"0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","27.714645 85.314385 0 0","27.714645","85.314385"
"84",100,FALSE,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA
"85",102,FALSE,"1","1","0","0","1","1","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","28.223448 83.988805 0 0","28.223448","83.988805"
"86",104,FALSE,"1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","27.713319 85.3127 0 0","27.713319","85.3127"
"87",105,FALSE,"0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","1","1","0","0","27.711537 85.309012 0 0","27.711537","85.309012"
"88",106,FALSE,"0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0",NA,NA,NA
