variable,name_in_xlsforrm,value,label_en,label_ne
gender_category,m_gender,1,,?????
gender_category,m_gender,2,,?????
gender_category,m_gender,3,,?????? ?????
age_category,,1,,
age_category,,2,,
age_category,,3,,
edu_levl_category,,2,,
edu_levl_category,,3,,
edu_levl_category,,4,,
edu_levl_category,,5,,
edu_levl_category,,6,,
exp_category,,1,,
exp_category,,2,,
exp_category,,3,,
exp_category,,4,,
exp_category,,5,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,1,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,2,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,3,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,4,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,5,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,6,,
i_empl_jb_prsnt_status_prtl_switch_new_sctr,,Other,,
i_empl_jb_in_tourism_changed_to_add,,1,,
i_empl_jb_in_tourism_changed_to_add,,2,,
i_empl_jb_in_tourism_changed_to_add,,3,,
i_empl_jb_in_tourism_changed_to_add,,4,,
i_empl_jb_in_tourism_changed_to_add,,5,,
i_empl_jb_in_tourism_changed_to_add,,6,,
i_empl_jb_in_tourism_changed_to_add,,7,,
i_empl_jb_in_tourism_changed_to_add,,8,,
i_empl_jb_in_tourism_changed_to_add,,9,,
i_empl_jb_in_tourism_changed_to_add,,10,,
i_empl_jb_in_tourism_changed_to_add,,11,,
i_empl_jb_in_tourism_changed_to_add,,12,,
i_empl_jb_in_tourism_changed_to_add,,13,,
i_empl_jb_in_tourism_changed_to_add,,14,,
i_empl_jb_in_tourism_changed_to_add,,15,,
i_empl_jb_in_tourism_changed_to_add,,16,,
i_empl_jb_in_tourism_changed_to_add,,Other,,
i_empl_covid_effects,,1,,
i_empl_covid_effects,,2,,
i_empl_covid_effects,,3,,
i_empl_covid_effects,,4,,
i_empl_covid_effects,,5,,
i_empl_covid_effects,,6,,
i_empl_covid_effects,,7,,
i_empl_covid_effects,,8,,
i_empl_covid_effects,,Other,,
i_econ_covid_effects,,1,,
i_econ_covid_effects,,2,,
i_econ_covid_effects,,3,,
i_econ_covid_effects,,4,,
i_econ_covid_effects,,5,,
i_econ_covid_effects,,6,,
i_econ_covid_effects,,7,,
i_econ_covid_effects,,8,,
i_econ_covid_effects,,9,,
i_econ_covid_effects,,Other,,
p_econ_hhd_items_pre_covid,,1,,
p_econ_hhd_items_pre_covid,,2,,
p_econ_hhd_items_pre_covid,,3,,
p_econ_hhd_items_pre_covid,,4,,
p_econ_hhd_items_pre_covid,,5,,
p_econ_hhd_items_pre_covid,,6,,
p_econ_hhd_items_pre_covid,,7,,
p_econ_hhd_items_pre_covid,,8,,
p_econ_hhd_items_pre_covid,,9,,
p_econ_hhd_items_pre_covid,,10,,
p_econ_hhd_items_pre_covid,,11,,
p_econ_hhd_items_pre_covid,,12,,
p_econ_hhd_items_post_covid,,1,,
p_econ_hhd_items_post_covid,,2,,
p_econ_hhd_items_post_covid,,3,,
p_econ_hhd_items_post_covid,,4,,
p_econ_hhd_items_post_covid,,5,,
p_econ_hhd_items_post_covid,,6,,
p_econ_hhd_items_post_covid,,7,,
p_econ_hhd_items_post_covid,,8,,
p_econ_hhd_items_post_covid,,9,,
p_econ_hhd_items_post_covid,,10,,
p_econ_hhd_items_post_covid,,11,,
p_econ_hhd_items_post_covid,,12,,
p_hlth_hhs_training_src,,1,,
p_hlth_hhs_training_src,,2,,
p_hlth_hhs_training_src,,3,,
p_hlth_hhs_training_src,,4,,
p_hlth_hhs_training_src,,5,,
p_hlth_hhs_training_src,,Other,,
p_hlth_info_covid_src,,1,,
p_hlth_info_covid_src,,2,,
p_hlth_info_covid_src,,3,,
p_hlth_info_covid_src,,4,,
p_hlth_info_covid_src,,5,,
p_hlth_info_covid_src,,6,,
p_hlth_info_covid_src,,7,,
p_hlth_info_covid_src,,Other,,
n_rcvry_preferred_incentives,,1,,
n_rcvry_preferred_incentives,,2,,
n_rcvry_preferred_incentives,,3,,
n_rcvry_preferred_incentives,,4,,
n_rcvry_preferred_incentives,,5,,
n_rcvry_preferred_incentives,,6,,
n_rcvry_preferred_incentives,,7,,
n_rcvry_preferred_incentives,,8,,
n_rcvry_preferred_incentives,,9,,
n_rcvry_preferred_incentives,,10,,
n_rcvry_preferred_incentives,,11,,
n_rcvry_preferred_incentives,,12,,
n_rcvry_preferred_incentives,,13,,
n_rcvry_preferred_incentives,,Other,,
b_empl_trsm_major_districts,,1,,
b_empl_trsm_major_districts,,2,,
b_empl_trsm_major_districts,,3,,
b_empl_trsm_major_districts,,4,,
b_empl_trsm_major_districts,,5,,
b_empl_trsm_major_districts,,6,,
b_empl_trsm_major_districts,,7,,
b_empl_trsm_major_districts,,8,,
b_empl_trsm_major_districts,,9,,
b_empl_trsm_major_districts,,10,,
b_empl_trsm_major_districts,,11,,
b_empl_trsm_major_districts,,12,,
b_empl_trsm_major_districts,,13,,
b_empl_trsm_major_districts,,14,,
b_empl_trsm_major_districts,,15,,
b_empl_trsm_major_districts,,16,,
b_empl_trsm_major_districts,,17,,
b_empl_trsm_major_districts,,18,,
b_empl_trsm_major_districts,,19,,
b_empl_trsm_major_districts,,20,,
b_empl_trsm_major_districts,,21,,
b_empl_trsm_major_districts,,22,,
b_empl_trsm_major_districts,,23,,
b_empl_trsm_major_districts,,24,,
b_empl_trsm_major_districts,,25,,
b_empl_trsm_major_districts,,26,,
b_empl_trsm_major_districts,,27,,
b_empl_trsm_major_districts,,28,,
b_empl_trsm_major_districts,,29,,
b_empl_trsm_major_districts,,30,,
b_empl_trsm_major_districts,,31,,
b_empl_trsm_major_districts,,32,,
b_empl_trsm_major_districts,,33,,
b_empl_trsm_major_districts,,34,,
b_empl_trsm_major_districts,,35,,
b_empl_trsm_major_districts,,36,,
b_empl_trsm_major_districts,,37,,
b_empl_trsm_major_districts,,38,,
b_empl_trsm_major_districts,,39,,
b_empl_trsm_major_districts,,40,,
b_empl_trsm_major_districts,,41,,
b_empl_trsm_major_districts,,42,,
b_empl_trsm_major_districts,,43,,
b_empl_trsm_major_districts,,44,,
b_empl_trsm_major_districts,,45,,
b_empl_trsm_major_districts,,46,,
b_empl_trsm_major_districts,,47,,
b_empl_trsm_major_districts,,48,,
b_empl_trsm_major_districts,,49,,
b_empl_trsm_major_districts,,50,,
b_empl_trsm_major_districts,,51,,
b_empl_trsm_major_districts,,52,,
b_empl_trsm_major_districts,,53,,
b_empl_trsm_major_districts,,54,,
b_empl_trsm_major_districts,,55,,
b_empl_trsm_major_districts,,56,,
b_empl_trsm_major_districts,,57,,
b_empl_trsm_major_districts,,58,,
b_empl_trsm_major_districts,,59,,
b_empl_trsm_major_districts,,60,,
b_empl_trsm_major_districts,,61,,
b_empl_trsm_major_districts,,62,,
b_empl_trsm_major_districts,,63,,
b_empl_trsm_major_districts,,64,,
b_empl_trsm_major_districts,,65,,
b_empl_trsm_major_districts,,66,,
b_empl_trsm_major_districts,,67,,
b_empl_trsm_major_districts,,68,,
b_empl_trsm_major_districts,,69,,
b_empl_trsm_major_districts,,70,,
b_empl_trsm_major_districts,,71,,
b_empl_trsm_major_districts,,72,,
b_empl_trsm_major_districts,,73,,
b_empl_trsm_major_districts,,74,,
b_empl_trsm_major_districts,,75,,
b_empl_trsm_major_districts,,76,,
b_empl_trsm_major_districts,,77,,
b_empl_trsm_org,,1,,
b_empl_trsm_org,,2,,
b_empl_trsm_org,,3,,
b_empl_trsm_org,,4,,
b_empl_trsm_org,,5,,
b_empl_trsm_org,,6,,
b_empl_trsm_org,,7,,
b_empl_trsm_org,,8,,
b_empl_trsm_org,,Other,,
o_rcvry_chllng_trsm_revival,,1,,
o_rcvry_chllng_trsm_revival,,2,,
o_rcvry_chllng_trsm_revival,,3,,
o_rcvry_chllng_trsm_revival,,4,,
o_rcvry_chllng_trsm_revival,,5,,
o_rcvry_chllng_trsm_revival,,6,,
o_rcvry_chllng_trsm_revival,,7,,
o_rcvry_chllng_trsm_revival,,Other,,
b_empl_occpatn_pre_covid,,1,,
b_empl_occpatn_pre_covid,,2,,
b_empl_occpatn_pre_covid,,3,,
b_empl_occpatn_pre_covid,,4,,
b_empl_occpatn_pre_covid,,5,,
b_empl_occpatn_pre_covid,,6,,
b_empl_occpatn_pre_covid,,7,,
b_empl_occpatn_pre_covid,,8,,
b_empl_occpatn_pre_covid,,9,,
b_empl_occpatn_pre_covid,,10,,
b_empl_occpatn_pre_covid,,11,,
b_empl_occpatn_pre_covid,,12,,
b_empl_occpatn_pre_covid,,13,,
b_empl_occpatn_pre_covid,,14,,
b_empl_occpatn_pre_covid,,15,,
b_empl_occpatn_pre_covid,,16,,
b_empl_occpatn_pre_covid,,Other,,
o_rcvry_chllng_trsm_revival,,1,,
o_rcvry_chllng_trsm_revival,,2,,
o_rcvry_chllng_trsm_revival,,3,,
o_rcvry_chllng_trsm_revival,,4,,
o_rcvry_chllng_trsm_revival,,5,,
o_rcvry_chllng_trsm_revival,,6,,
o_rcvry_chllng_trsm_revival,,7,,
o_rcvry_chllng_trsm_revival,,Other,,
o_impct_to_self_nxt_6_mnths,,1,,
o_impct_to_self_nxt_6_mnths,,2,,
o_impct_to_self_nxt_6_mnths,,3,,
o_impct_to_self_nxt_6_mnths,,4,,
o_impct_to_self_nxt_6_mnths,,5,,
o_impct_to_self_nxt_6_mnths,,6,,
o_impct_to_self_nxt_6_mnths,,7,,
o_impct_to_self_nxt_6_mnths,,8,,
o_impct_to_self_nxt_6_mnths,,9,,
o_impct_to_self_nxt_6_mnths,,Other,,
